color_rgb,proportion
"[240, 232, 223]",0.23882766210588935
"[186, 159, 134]",0.13587364663890542
"[121, 93, 72]",0.08850722784057109
"[37, 26, 19]",0.07756713265913147
"[216, 226, 236]",0.057509458655562166
"[240, 224, 231]",0.050810291493158834
"[230, 241, 236]",0.040800446162998216
"[21, 28, 44]",0.04006627007733492
"[135, 165, 189]",0.03717766210588935
"[72, 97, 124]",0.0307128494943486
"[186, 145, 167]",0.023841820345032717
"[44, 22, 33]",0.021132629387269484
"[124, 78, 100]",0.018384770969660916
"[137, 172, 149]",0.017297441998810233
"[223, 204, 126]",0.015051130279595478
"[19, 33, 24]",0.014421713265913147
"[76, 109, 88]",0.012346103509815586
"[163, 144, 63]",0.011121891731112433
"[189, 87, 134]",0.008105056513979775
"[133, 27, 63]",0.006350029744199881
"[187, 102, 83]",0.006309964306960143
"[230, 168, 191]",0.0061062760261748955
"[43, 47, 121]",0.005209042236763831
"[229, 176, 165]",0.004860113027959548
"[102, 107, 192]",0.004395151695419393
"[66, 167, 127]",0.004166924449732302
"[113, 43, 33]",0.004164128494943486
"[80, 73, 30]",0.0038677870315288517
"[177, 180, 225]",0.003519125520523498
"[34, 175, 198]",0.003357614515169542
"[151, 219, 183]",0.0025314098750743603
"[129, 216, 228]",0.002015437239738251
"[36, 83, 56]",0.0019853955978584178
"[23, 81, 93]",0.0006377751338488995
"[226, 224, 10]",0.0005492563950029744
"[0, 253, 158]",0.0002793872694824509
"[40, 35, 241]",0.00010907198096371208
"[245, 6, 45]",2.4449732302201072e-05
"[253, 8, 5]",3.926234384295062e-06
"[0, 245, 254]",2.528256989886972e-06
