,number_images
2021-01-10,696
2021-01-09,5
2021-01-08,1429
2021-01-07,1342
2021-01-06,10
2021-01-05,2
2021-01-04,2
2021-01-03,1
2021-01-01,4
2020-12-31,1
2020-12-21,1
2020-12-20,1
2020-12-18,1
2020-12-16,1
2020-12-14,1
2020-12-13,2
2020-12-12,1
2020-12-06,1
2020-12-02,1
2020-12-01,1
2020-11-22,1
2020-11-19,1
2020-11-18,1
2020-11-17,1
2020-11-16,1
2020-11-12,1
2020-11-07,1
2020-10-25,1
2020-10-22,1
2020-10-18,1
2020-10-14,1
2020-10-01,1
2020-09-22,1
2020-09-08,1
2020-08-07,1
2020-07-16,1
2020-03-17,1
2020-02-12,1
2019-11-13,1
2019-09-17,1
2019-02-25,1
2015-04-23,1
2015-04-13,1
