date,number_images
2021-01-22,747
2021-01-21,14
2021-01-20,10
2021-01-19,3
2021-01-18,5
2021-01-17,5
2021-01-16,6
2021-01-15,1
2021-01-14,1
2021-01-11,2419
2021-01-10,33
2021-01-09,12
2021-01-08,9
2021-01-07,15
2021-01-06,9
2021-01-05,6
2021-01-04,8
2021-01-03,7
2021-01-02,3
2021-01-01,6
2020-12-31,2
2020-12-30,9
2020-12-29,3
2020-12-27,5
2020-12-26,2
2020-12-25,7
2020-12-24,1
2020-12-22,1
2020-12-21,6
2020-12-20,3
2020-12-19,4
2020-12-18,1
2020-12-17,4
2020-12-16,1
2020-12-13,1
2020-12-11,1
2020-12-10,1
2020-12-07,1
2020-12-06,1
2020-12-05,3
2020-12-01,1
2020-11-29,1
2020-11-28,1
2020-11-27,1
2020-11-26,1
2020-11-24,1
2020-11-22,1
2020-11-21,1
2020-11-20,2
2020-11-18,1
2020-11-17,2
2020-11-14,1
2020-11-12,2
2020-11-08,2
2020-11-05,1
2020-11-03,1
2020-10-30,1
2020-10-28,2
2020-10-27,1
2020-10-24,1
2020-10-20,1
2020-10-18,1
2020-10-11,1
2020-10-09,1
2020-10-06,3
2020-10-04,1
2020-10-03,1
2020-10-01,1
2020-09-30,3
2020-09-29,2
2020-09-28,1
2020-09-24,1
2020-09-23,2
2020-09-20,1
2020-09-15,1
2020-09-14,1
2020-09-12,1
2020-09-11,1
2020-09-09,1
2020-09-05,1
2020-08-29,2
2020-08-28,2
2020-08-27,2
2020-08-26,1
2020-08-23,1
2020-08-19,1
2020-08-18,1
2020-08-17,1
2020-08-16,1
2020-08-15,1
2020-08-02,1
2020-07-27,1
2020-07-21,1
2020-07-13,1
2020-07-11,1
2020-07-09,1
2020-06-18,1
2020-06-17,1
2020-06-16,1
2020-06-05,1
2020-05-05,1
2020-05-01,1
2020-04-22,2
2020-04-17,1
2020-04-15,1
2020-04-14,1
2020-04-08,1
2020-03-31,3
2020-03-21,1
2020-03-20,1
2020-02-23,1
2020-02-15,2
2020-02-13,1
2020-02-09,1
2020-02-01,1
2020-01-28,1
2020-01-18,1
2020-01-15,1
2020-01-04,1
2020-01-02,1
2020-01-01,2
2019-12-27,2
2019-09-13,1
2019-08-12,1
2019-08-09,1
2019-08-05,1
2019-06-23,1
2019-06-09,3
2019-05-25,2
2019-05-19,1
2019-05-08,1
2019-05-04,1
2019-04-08,1
2019-04-04,1
2019-02-24,1
2019-01-31,1
2018-12-26,1
2018-12-19,1
2018-11-10,1
2018-10-28,1
2018-10-24,1
2018-10-20,1
2018-09-11,1
2018-09-09,1
2018-08-27,1
2018-08-13,2
2018-08-04,1
2018-06-09,2
2018-06-05,1
2018-05-30,1
2018-05-21,1
2018-05-18,1
2018-04-18,1
2018-04-08,1
2018-01-17,1
2017-12-12,1
2017-10-09,1
2016-05-16,1
2016-03-05,1
2015-07-26,1
2015-04-27,3
2015-02-03,2
